session,root,interval,instrument,group,given_answer,correct_answer,difference,bin_difference
pretest,52,60,piano,A,8,8,0,True
pretest,54,58,piano,A,4,4,0,True
pretest,61,69,piano,A,10,8,2,False
pretest,64,60,piano,B,6,-4,10,False
pretest,63,52,piano,B,-5,-11,6,False
pretest,61,55,piano,B,-7,-6,-1,False
pretest,56,65,piano,B,4,9,-5,False
pretest,66,59,piano,B,-7,-7,0,True
pretest,59,69,piano,B,10,10,0,True
pretest,61,68,piano,B,8,7,1,False
pretest,65,54,piano,B,-5,-11,6,False
pretest,63,69,piano,B,6,6,0,True
pretest,61,60,piano,B,-3,-1,-2,False
pretest,60,69,piano,B,4,9,-5,False
pretest,69,65,piano,B,-3,-4,1,False
pretest,62,62,piano,B,0,0,0,True
pretest,56,63,piano,B,2,7,-5,False
pretest,67,58,piano,B,-8,-9,1,False
pretest,68,58,piano,B,-5,-10,5,False
pretest,52,63,piano,B,9,11,-2,False
pretest,56,67,piano,B,-6,11,-17,False
pretest,68,59,piano,B,5,-9,14,False
pretest,64,54,piano,B,-4,-10,6,False
pretest,63,66,singer,A,5,3,2,False
pretest,61,59,singer,A,-1,-2,1,False
pretest,57,62,singer,A,7,5,2,False
pretest,57,69,singer,A,12,12,0,True
pretest,61,59,singer,A,-1,-2,1,False
pretest,63,58,singer,A,-3,-5,2,False
pretest,58,62,singer,A,4,4,0,True
pretest,63,60,singer,A,-6,-3,-3,False
pretest,58,66,singer,A,8,8,0,True
pretest,59,61,singer,A,-1,2,-3,False
pretest,63,67,singer,A,8,4,4,False
pretest,53,61,singer,A,2,8,-6,False
pretest,61,63,singer,A,1,2,-1,False
pretest,61,64,singer,A,5,3,2,False
pretest,69,57,singer,A,-7,-12,5,False
pretest,57,54,singer,A,-2,-3,1,False
pretest,65,57,singer,A,-7,-8,1,False
pretest,62,62,singer,A,0,0,0,True
pretest,55,67,singer,A,12,12,0,True
pretest,59,60,singer,A,1,1,0,True
pretest,53,53,singer,B,0,0,0,True
pretest,66,57,singer,B,-7,-9,2,False
pretest,58,68,singer,B,9,10,-1,False
pretest,56,62,singer,B,4,6,-2,False
pretest,54,65,singer,B,5,11,-6,False
pretest,65,55,singer,B,-9,-10,1,False
pretest,57,64,singer,B,11,7,4,False
pretest,57,68,singer,B,11,11,0,True
pretest,69,58,singer,B,-6,-11,5,False
pretest,63,52,singer,B,8,-11,19,False
pretest,65,56,singer,B,-5,-9,4,False
pretest,62,52,singer,B,-7,-10,3,False
pretest,57,66,singer,B,8,9,-1,False
pretest,68,61,singer,B,-5,-7,2,False
pretest,56,65,singer,B,7,9,-2,False
pretest,65,59,singer,B,-2,-6,4,False
pretest,62,58,singer,B,-2,-4,2,False
pretest,59,66,singer,B,6,7,-1,False
pretest,57,56,singer,B,-1,-1,0,True
pretest,59,55,singer,B,-1,-4,3,False
pretest,64,61,vocal,A,-2,-3,1,False
pretest,67,69,vocal,A,4,2,2,False
pretest,65,68,vocal,A,-1,3,-4,False
pretest,60,64,vocal,A,4,4,0,True
pretest,52,60,vocal,A,6,8,-2,False
pretest,58,58,vocal,A,0,0,0,True
pretest,65,57,vocal,A,-5,-8,3,False
pretest,55,67,vocal,A,12,12,0,True
pretest,66,64,vocal,A,-2,-2,0,True
pretest,58,61,vocal,A,3,3,0,True
pretest,64,52,vocal,A,-12,-12,0,True
pretest,57,62,vocal,A,4,5,-1,False
pretest,67,62,vocal,A,-7,-5,-2,False
pretest,69,67,vocal,A,-4,-2,-2,False
pretest,57,58,vocal,A,1,1,0,True
pretest,52,54,vocal,A,2,2,0,True
pretest,52,64,vocal,A,12,12,0,True
pretest,62,59,vocal,A,3,-3,6,False
pretest,56,60,vocal,A,5,4,1,False
pretest,57,65,vocal,A,8,8,0,True
pretest,57,66,vocal,B,7,9,-2,False
pretest,65,64,vocal,B,-1,-1,0,True
pretest,60,53,vocal,B,-5,-7,2,False
pretest,62,58,vocal,B,-2,-4,2,False
pretest,56,67,vocal,B,8,11,-3,False
pretest,57,63,vocal,B,3,6,-3,False
pretest,66,56,vocal,B,-7,-10,3,False
pretest,62,53,vocal,B,-4,-9,5,False
pretest,68,58,vocal,B,-7,-10,3,False
pretest,67,56,vocal,B,-7,-11,4,False
pretest,55,62,vocal,B,7,7,0,True
pretest,54,65,vocal,B,10,11,-1,False
pretest,67,63,vocal,B,-2,-4,2,False
pretest,64,53,vocal,B,-8,-11,3,False
pretest,65,65,vocal,B,0,0,0,True
pretest,52,62,vocal,B,5,10,-5,False
pretest,54,63,vocal,B,1,9,-8,False
pretest,67,58,vocal,B,8,-9,17,False
pretest,66,60,vocal,B,-4,-6,2,False
pretest,60,67,vocal,B,7,7,0,True
